epsilon,test-1,test-2,test-3,test-4,test-5,test-6,test-7,test-8,test-9,test-10,test-11,test-12,test-13,test-14,test-15,test-16,test-17,test-18,test-19,test-20,test-21,test-22,test-23,test-24,test-25,test-26,test-27,test-28,test-29,test-30
1,3637,3750,3541,3507,3411,3473,3585,3583,3486,3573,3579,3794,3573,3607,3489,3577,3551,3565,3492,3612,3628,3783,3555,3561,3467,3518,3549,3525,3561,3688
2,4120,3595,3608,3489,3478,3520,3434,3503,3572,3430,3539,3819,3488,3485,4178,3903,3473,3538,3498,3532,3656,3627,3524,3508,3631,3447,3405,3445,3423,3526
3,3983,3596,3546,3551,3537,3472,3517,3464,3507,3543,3515,3516,3449,3602,4117,3469,3613,3529,3848,3840,3759,3512,3618,3496,3757,3508,3520,3520,3583,3632
4,3637,3653,3570,3644,3484,3473,3564,3469,3480,3512,3535,3414,3411,3461,3642,3754,3454,3611,3653,3522,3481,3457,3429,3476,3534,3840,3525,3427,3487,3433
5,3579,3549,3524,3508,3485,3361,3835,3459,3448,3514,3524,3817,3462,3458,3503,3550,3482,3504,3492,3564,3463,3783,3839,3781,3706,3883,3658,3530,3429,3355
6,3672,3563,3462,3476,3483,3524,3497,3448,3605,3428,3452,3586,3446,3548,3435,3428,3470,3426,3832,3560,3513,3424,3465,3529,3455,3494,3543,3632,3948,3436
7,4060,3599,3482,3803,3528,3496,3474,3367,3375,3459,3527,3450,3539,3822,3748,3577,3484,3504,3534,3611,3599,3506,3400,3935,3444,3542,3471,3497,3500,3504
8,3595,3639,3560,3616,3540,3509,3570,3497,3469,3422,3524,3939,3583,3482,3499,3487,3506,3439,3563,3569,3797,3638,3856,3534,3558,3478,3463,3449,3443,3535
9,3758,3669,3568,3641,3616,3812,3497,3560,3486,3435,3441,3501,3484,3602,3581,3585,3768,3453,3520,3590,3404,3491,3445,3561,3527,3763,3687,3483,3465,3504
10,3751,3431,3485,3499,3453,3478,3519,3506,3413,3413,3520,3800,3520,3571,3552,3450,3393,3447,3632,3564,3456,3587,3522,3432,3464,3474,3595,3418,3489,3793
11,3633,3575,3487,3532,3513,3485,3506,3515,3505,3513,3387,3511,3706,3745,3456,3590,3525,3438,3411,3594,3608,3979,3629,3673,3428,3435,3406,3530,3466,3531
12,3614,3457,3476,3391,3453,3501,3470,3406,3422,3510,3740,3560,3406,3464,3393,3494,3397,3516,3440,3449,3897,3509,3474,3548,3535,3523,3437,3478,3466,3631
13,3643,3600,3489,3576,3430,3434,3442,3423,3457,3479,3610,3782,3453,3555,3578,3476,3577,3476,3408,3791,4867,3590,3468,3433,3428,3546,3560,3530,3398,3533
14,3930,3497,3478,3404,3385,3415,3392,3420,3467,3469,3968,3493,3722,3499,3513,3552,3468,3553,3738,3460,3460,3493,3562,3414,3803,3558,3436,3474,3390,3391
15,3616,3644,3531,3611,3644,3559,3422,3550,3554,3428,3482,3841,4567,3433,3505,3535,3569,3512,3617,3944,3626,3438,3455,3431,3511,3475,3963,3518,3647,3482
16,3768,3524,3504,3535,3487,3639,3656,3468,3497,3956,3835,3566,3661,3638,3505,3580,3900,3561,3459,3437,3452,3474,3390,3472,3460,3754,3614,3488,3599,3498
17,3728,3516,3458,3455,3504,3469,3502,3413,3362,3405,3542,3770,3402,3499,3451,3351,3414,3471,3462,3471,3430,3605,3365,3379,3425,3875,3553,3377,3343,3450
18,3558,3605,3438,3491,3568,3450,3527,3387,3371,3416,3537,3656,3413,3493,3404,3409,3423,3328,3405,3421,3666,3569,3384,3346,3371,3444,3450,3422,3475,3595
19,3862,3535,3405,3565,3564,3539,3678,3506,3678,3452,3405,3460,3392,3430,3441,3452,3466,3436,3814,3414,3371,3451,3455,3425,3531,3427,3433,3382,3364,3511
20,3722,3510,3472,3421,3414,3544,3443,3499,3449,3437,3375,3319,3526,3792,3399,3444,3400,3360,3466,3372,3388,3436,3434,3749,3424,3474,3402,3418,3368,3405
