epsilon,test-1,test-2,test-3,test-4,test-5,test-6,test-7,test-8,test-9,test-10,test-11,test-12,test-13,test-14,test-15,test-16,test-17,test-18,test-19,test-20,test-21,test-22,test-23,test-24,test-25,test-26,test-27,test-28,test-29,test-30
1,186,95,89,148,97,95,101,88,99,88,88,89,80,171,87,85,80,83,89,85,230,86,103,89,99,79,173,82,86,79
2,82,146,82,81,83,86,81,90,112,83,77,88,129,152,101,95,87,222,87,91,85,105,98,94,185,93,85,102,99,95
3,79,85,88,148,78,86,90,82,84,88,135,128,116,116,107,196,103,90,85,101,167,101,90,99,104,87,172,96,94,105
4,148,84,85,92,77,86,80,157,82,99,75,111,211,99,83,97,116,85,86,88,169,75,84,93,83,85,177,88,81,85
5,162,86,84,76,83,77,84,161,81,79,77,107,121,197,98,102,145,87,77,80,88,159,87,86,85,77,161,92,83,82
6,162,86,88,80,89,81,92,153,81,79,83,107,127,92,150,97,106,103,86,141,86,89,78,149,81,92,78,78,86,81
7,147,83,84,83,92,87,140,85,95,81,87,124,188,100,95,139,93,160,85,80,79,88,86,149,89,87,87,96,87,162
8,136,86,87,78,84,84,132,76,83,83,82,215,102,93,93,94,237,87,80,86,79,84,152,89,84,82,84,77,140,85
9,179,88,79,83,84,86,85,84,131,88,86,112,215,101,89,142,105,77,82,160,82,82,90,98,105,85,143,89,78,84
10,83,97,83,159,82,89,83,95,98,161,102,131,96,107,96,103,166,139,88,93,91,176,82,84,86,85,80,98,82,167
11,140,82,86,81,82,88,141,78,102,89,80,216,104,107,89,112,166,93,78,92,82,87,166,89,78,89,86,82,145,87
12,136,80,80,91,81,94,142,90,80,84,97,143,185,98,97,105,97,169,91,79,87,81,87,145,94,79,84,91,84,143
13,166,97,88,93,107,89,193,91,110,96,155,152,116,100,196,88,86,88,82,161,84,99,80,82,85,80,163,83,80,87
14,143,87,82,82,89,79,145,84,80,83,82,108,198,97,94,101,106,163,88,79,87,94,88,171,86,84,86,88,100,156
15,153,77,81,89,84,90,172,85,86,95,88,122,101,106,176,109,100,90,83,169,81,90,85,126,102,92,93,149,81,86
16,144,89,83,81,90,99,96,170,79,90,126,133,99,89,109,253,84,86,90,174,90,90,83,100,91,86,78,161,77,87
17,136,82,84,75,81,85,80,139,80,83,84,97,124,175,100,97,113,88,149,89,82,106,92,160,85,95,95,91,81,86
18,80,125,87,76,84,87,99,92,92,84,175,133,102,88,94,84,102,105,170,84,86,82,77,87,156,87,94,85,85,85
19,77,171,95,97,96,89,100,102,109,217,140,115,107,115,304,111,108,93,99,103,107,210,97,97,106,116,113,170,103,118
20,82,125,83,83,91,158,83,86,82,86,79,112,215,84,95,104,110,83,165,89,90,76,82,78,85,91,151,81,87,86
