epsilon,test-1,test-2,test-3,test-4,test-5,test-6,test-7,test-8,test-9,test-10,test-11,test-12,test-13,test-14,test-15,test-16,test-17,test-18,test-19,test-20,test-21,test-22,test-23,test-24,test-25,test-26,test-27,test-28,test-29,test-30
1,4158,3496,3622,3869,3668,3659,4054,3715,3891,3689,4188,3972,3928,3770,3585,3614,3616,3626,3651,3635,3589,3683,3815,3820,3574,3617,3689,3705,3701,3657
2,3811,3719,3764,3943,3612,3693,3661,3543,3507,3356,3413,3503,3787,3488,3538,3482,3415,3577,3462,3432,3426,3498,3560,3583,3450,3385,3687,3661,3463,3576
3,3651,3672,3587,3572,3480,3543,3603,3528,3584,3456,3540,3579,3519,3861,3650,3578,3560,3902,3645,3466,3509,3826,4316,3596,3569,3533,3523,3515,3464,3483
4,3730,3603,3486,3505,3444,3471,3462,3545,3478,3584,3694,3763,3543,3542,3567,3552,3579,3458,3513,3577,3913,3569,3537,3502,3464,3443,3414,3474,3450,3575
5,3569,3506,3336,3444,3416,3411,3490,3339,3426,3345,3393,3644,3465,3369,3387,3337,3416,3459,3404,3423,3388,3777,3412,3378,3518,3402,3409,3460,3398,3378
6,3535,3495,3558,3478,3418,3396,3393,3423,3462,3479,3690,3821,3454,3406,3421,3475,3377,3493,3402,3381,3674,3579,3430,3431,3479,3476,3457,3488,3474,3411
7,3875,3536,3360,3444,3505,3432,3409,3383,3882,3580,3971,3929,3966,3900,4071,3925,3918,3951,4031,3991,3640,3461,3551,3604,3433,3460,3425,3465,3448,3394
8,3709,3602,3446,3572,3417,3504,3469,3486,3435,3478,3679,3636,3454,3504,3848,3659,3478,3445,3458,3485,3416,3404,3309,3586,3781,3495,3530,3452,3469,3407
9,3517,3696,3505,3520,3679,3587,3507,3505,3518,3544,3720,3676,3580,3505,3511,3461,3405,3435,3480,3417,3671,3420,3563,3365,3406,3432,3424,3493,3411,3528
10,3588,3447,3449,3456,3428,3483,3608,3488,3551,3461,3491,3453,3823,3529,3543,3414,3506,3430,3400,3373,3428,3548,3806,3434,3505,3388,3405,3522,3496,3441
11,3620,3582,3476,3476,3434,3450,3498,3394,3611,3418,3441,3538,3489,3470,3487,3421,3587,3479,3432,3474,3448,3423,3422,3440,3424,3424,3802,3493,3481,3503
12,3652,4022,3804,3367,3431,3520,3435,3433,3474,3380,3405,3767,3460,3418,3544,3503,3470,3542,3482,3392,3586,3664,3511,3412,3547,3452,3382,3430,3472,3448
13,4177,3436,3411,3422,3514,3452,3491,3472,3425,3480,3471,3761,3443,3426,3482,3441,3471,3440,3462,3562,3634,3525,3453,3447,3276,3389,3543,3462,3339,3364
14,3830,3464,3664,3756,3512,3464,3502,3451,3476,3444,3460,3885,3415,3462,3441,3436,3412,3498,3526,3459,3418,3494,3390,3465,3395,3427,3418,3503,3388,3418
15,3585,3512,3516,3444,3469,3435,3421,3443,3434,3484,3385,3808,3423,3437,3416,3436,3561,3445,3478,3441,3590,3723,3457,3312,3471,3519,3496,3383,3497,3401
16,4001,3397,3375,3458,3391,3473,3418,3515,3393,3456,3527,3735,3425,3468,3419,3510,3392,3347,3462,3509,3347,3791,3310,3404,3377,3321,3434,3421,3434,3382
17,3490,3609,3423,3390,3455,3526,3362,3381,3348,3455,3393,3631,3519,3416,3379,3491,3478,3512,3380,3316,3431,3741,3433,3360,3398,3369,3294,3397,3327,3351
18,3343,3684,3301,3390,3333,3344,3528,3495,3380,3365,3475,3492,3340,3364,3391,3450,3319,3389,3373,3448,3295,3316,3338,3411,3588,3584,4051,4149,3975,3760
19,3614,4333,3977,3990,3736,3834,3658,3443,3477,3487,3521,3851,3513,3900,3641,3752,4058,4073,3557,3732,3576,3485,3444,3531,3391,3468,3411,3457,3437,3407
20,3576,3580,3532,3507,3455,3458,3387,3423,3412,3487,3505,3893,3481,3406,3433,3371,3410,3372,3434,3464,3659,3584,3434,3451,3497,3420,3464,3552,3405,3421
